threshold,TP,FP,FN,recall,precision,F1
0.3,2643,17901,365,0.878656914893617,0.12865070093457945,0.22443953804347827
0.5,2237,10001,771,0.7436835106382979,0.1827913057689165,0.293454020726748
0.8,981,1673,2027,0.32613031914893614,0.3696307460437076,0.3465206640762981
